ivc_id=0 max_peers=2 peer_id=0 target_peer=1 out_sec_size=4096 counter=stable-counter freq=100000000
seq,t1,t2,t3,t4,offset_cycles,latency_cycles,offset_us,latency_us
1,24612881652,6951188786,6951188796,24613541179,-17662022624,329758,-176620226.240,3297.580
2,24613647150,6971157199,6971157206,24633509741,-17652421243,9931292,-176524212.430,99312.920
3,24633615832,7001189221,7001189228,24663541598,-17647389490,14962879,-176473894.900,149628.790
4,24663647496,7052197642,7052197652,24714550096,-17636901149,25451295,-176369011.490,254512.950
5,24714656094,7053188760,7053188768,24715541058,-17661909812,442478,-176619098.120,4424.780
6,24715646813,7072990041,7072990049,24735342199,-17652504461,9847689,-176525044.610,98476.890
7,24735448007,7101193751,7101193755,24763546105,-17648303303,14049047,-176483033.030,140490.470
8,24763652180,7103185102,7103185111,24765537410,-17661409688,942610,-176614096.880,9426.100
9,24765643226,7142970042,7142970051,24805322546,-17642512839,19839655,-176425128.390,198396.550
10,24805428624,7201193050,7201193058,24863545251,-17633293883,29058309,-176332938.830,290583.090
11,24863651138,7202200322,7202200331,24864552584,-17661901534,450718,-176619015.340,4507.180
12,24864658383,7205188938,7205188947,24867541235,-17660910866,1441421,-176609108.660,14414.210
13,24867647012,7256197711,7256197720,24918550057,-17636900819,25451518,-176369008.190,254515.180
14,24918656026,7301193867,7301193872,24963546267,-17639907277,22445118,-176399072.770,224451.180
15,24963652287,7307189588,7307189595,24969541775,-17659407439,2944740,-176594074.390,29447.400
16,24969647629,7308188860,7308188872,24970541173,-17661905535,446766,-176619055.350,4467.660
17,24970646969,7328139382,7328139391,24990491669,-17652429932,9922345,-176524299.320,99223.450
18,24990597559,7358189631,7358189638,25020541977,-17647380133,14972205,-176473801.330,149722.050
19,25020647845,7401193910,7401193919,25063546218,-17640903117,21449182,-176409031.170,214491.820
20,25063652107,7409189169,7409189177,25071541466,-17658407613,3944675,-176584076.130,39446.750
21,25071647337,7409463810,7409463820,25071815974,-17662267840,84313,-176622678.400,843.130
22,25071921815,7410188954,7410188962,25072541264,-17662042581,309720,-176620425.810,3097.200
23,25072647008,7428981133,7428981142,25091333503,-17653009118,9343243,-176530091.180,93432.430
24,25091439514,7460189250,7460189257,25122541495,-17646801251,15550987,-176468012.510,155509.870
25,25122647345,7501193681,7501193689,25163545879,-17641902927,20449263,-176419029.270,204492.630
26,25163651703,7511189603,7511189611,25173541985,-17657407237,4945137,-176574072.370,49451.370
27,25173647910,7512188745,7512188755,25174540934,-17661905672,446507,-176619056.720,4465.070
28,25174646808,7532149032,7532149041,25194501252,-17652424993,9927217,-176524249.930,99272.170
29,25194607088,7562189355,7562189363,25224541733,-17647385051,14967318,-176473850.510,149673.180
30,25224647639,7601193771,7601193778,25263546214,-17642903152,19449284,-176429031.520,194492.840
31,25263652223,7613189700,7613189707,25275541982,-17656407399,5944876,-176564073.990,59448.760
32,25275647902,7614188979,7614188989,25276541315,-17661905624,446701,-176619056.240,4467.010
33,25276647160,7634150187,7634150196,25296502507,-17652424642,9927669,-176524246.420,99276.690
34,25296608392,7664184687,7664184695,25326537074,-17647388042,14964337,-176473880.420,149643.370
35,25326643038,7701193050,7701193056,25363545438,-17643901185,18451197,-176439011.850,184511.970
36,25363651427,7715184782,7715184790,25377536989,-17655409422,6942777,-176554094.220,69427.770
37,25377642783,7716200334,7716200343,25378552476,-17661897291,454842,-176618972.910,4548.420
38,25378658259,7736223567,7736223576,25398575762,-17652393439,9958747,-176523934.390,99587.470
39,25398681639,7801193117,7801193126,25463545382,-17629920389,32431867,-176299203.890,324318.670
40,25463651271,7866194258,7866194264,25528546669,-17629904709,32447696,-176299047.090,324476.960
41,25528652612,7867190006,7867190015,25529542278,-17661907434,444828,-176619074.340,4448.280
42,25529648066,7887205040,7887205049,25549557284,-17652397630,9954604,-176523976.300,99546.040
43,25549665163,7901193753,7901193760,25563546042,-17655411846,6940436,-176554118.460,69404.360
44,25563651880,7919189081,7919189088,25581541376,-17653407543,8944744,-176534075.430,89447.440
