ivc_id=0 max_peers=2 peer_id=0 target_peer=1 out_sec_size=4096 counter=stable-counter freq=100000000
seq,t1,t2,t3,t4,offset_cycles,latency_cycles,offset_us,latency_us
1,8978000233,1494245419,1494245423,8981232163,-7485370777,1615963,-74853707.770,16159.630
2,8981339771,1512380765,1512380773,8999367185,-7477972709,9013703,-74779727.090,90137.030
3,8999473243,1512529603,1512529612,8999516189,-7486965108,21468,-74869651.080,214.680
4,8999622274,1515835730,1515835740,9002821959,-7485386381,1599837,-74853863.810,15998.370
5,9002927913,1545245627,1545245635,9032236388,-7472336519,14654233,-74723365.190,146542.330
6,9032342348,1545593988,1545593998,9032580040,-7486867201,118841,-74868672.010,1188.410
7,9032685934,1546244686,1546244694,9033232065,-7486714309,273061,-74867143.090,2730.610
8,9033337971,1565022891,1565022901,9052009161,-7477650670,9335590,-74776506.700,93355.900
9,9052115087,1596248824,1596248831,9083241429,-7471429430,15563167,-74714294.300,155631.670
10,9083347399,1596556955,1596556964,9083542963,-7486888221,97777,-74868882.210,977.770
11,9083648810,1602253992,1602254001,9089240094,-7484190455,2795637,-74841904.550,27956.370
12,9089346004,1647244755,1647244761,9134231564,-7464544026,22442777,-74645440.260,224427.770
13,9134337509,1648240624,1648240632,9135226653,-7486541453,444568,-74865414.530,4445.680
14,9135332554,1668131862,1668131868,9155117957,-7477093390,9892698,-74770933.900,98926.980
15,9155223852,1698245588,1698245595,9185232288,-7471982478,15004214,-74719824.780,150042.140
16,9185338252,1702249572,1702249583,9189235613,-7485037355,1948675,-74850373.550,19486.750
17,9189341526,1749248779,1749248788,9236241451,-7463542705,23449958,-74635427.050,234499.580
18,9236347395,1749617709,1749617717,9236603705,-7486857837,128151,-74868578.370,1281.510
19,9236709592,1750240843,1750240852,9237226770,-7486727333,258584,-74867273.330,2585.840
20,9237332650,1768954411,1768954419,9255940568,-7477682194,9303955,-74776821.940,93039.550
21,9256046482,1800244702,1800244709,9287231765,-7471394418,15592638,-74713944.180,155926.380
22,9287337717,1802249545,1802249555,9289235658,-7486037137,948965,-74860371.370,9489.650
23,9289341545,1840171680,1840171687,9327157804,-7468077991,18908126,-74680779.910,189081.260
24,9327263746,1851244795,1851244803,9338232161,-7481503154,5484203,-74815031.540,54842.030
25,9338338032,1852240707,1852240715,9339226757,-7486541683,444358,-74865416.830,4443.580
26,9339332632,1864244768,1864244774,9351232279,-7481037684,5949820,-74810376.840,59498.200
27,9351338188,1902249787,1902249796,9389236018,-7468037311,18948910,-74680373.110,189489.100
28,9389341938,1903264495,1903264505,9390250506,-7486531722,454279,-74865317.220,4542.790
29,9390356387,1904273807,1904273816,9391263758,-7486536261,453681,-74865362.610,4536.810
30,9391369803,1942941978,1942941984,9429928309,-7467707075,19279250,-74677070.750,192792.500
31,9430034288,1944646923,1944646933,9431633105,-7486186768,799403,-74861867.680,7994.030
32,9431739026,1954246171,1954246190,9441232351,-7482239508,4746653,-74822395.080,47466.530
33,9441338272,1955240795,1955240803,9442226839,-7486541756,444279,-74865417.560,4442.790
34,9442332753,1968244846,1968244855,9455231632,-7480537342,6449435,-74805373.420,64494.350
35,9455337566,2002249490,2002249498,9489235752,-7470037165,16949089,-74700371.650,169490.890
36,9489341801,2005240397,2005240411,9492226639,-7485543816,1442412,-74855438.160,14424.120
37,9492332544,2056249758,2056249766,9543236139,-7461534579,25451793,-74615345.790,254517.930
38,9543342083,2057255944,2057255955,9544242035,-7486536109,449970,-74865361.090,4499.700
39,9544347917,2077198660,2077198667,9564184793,-7477067691,9918434,-74770676.910,99184.340
40,9564290676,2102248797,2102248804,9589234952,-7474514013,12472134,-74745140.130,124721.340
41,9589340866,2107240276,2107240282,9594226345,-7484543326,2442736,-74845433.260,24427.360
42,9594332320,2158240501,2158240508,9645226644,-7461538977,25447158,-74615389.770,254471.580
43,9645332562,2159256058,2159256067,9646242123,-7486531280,454776,-74865312.800,4547.760
44,9646348036,2179275956,2179275965,9666262040,-7477029077,9956997,-74770290.770,99569.970
45,9666370012,2202248767,2202248772,9689234782,-7475553627,11432382,-74755536.270,114323.820
46,9689340663,2279287181,2279287188,9766273396,-7448519845,38466363,-74485198.450,384663.630
47,9766379267,2280256029,2280256038,9767242096,-7486554648,431410,-74865546.480,4314.100
48,9767348016,2299477802,2299477811,9786463904,-7477428153,9557939,-74774281.530,95579.390
49,9786569828,2302248638,2302248645,9789234785,-7485653665,1332475,-74856536.650,13324.750
50,9789340707,2397249414,2397249423,9884235599,-7439538734,47447441,-74395387.340,474474.410
51,9884341516,2398256060,2398256069,9885242111,-7486535749,450293,-74865357.490,4502.930
52,9885347943,2402248764,2402248772,9889234775,-7485042591,1943412,-74850425.910,19434.120
53,9889340687,2418233857,2418233866,9905220031,-7479046497,7939667,-74790464.970,79396.670
54,9905325914,2502248816,2502248823,9989234949,-7445031612,41954514,-74450316.120,419545.140
55,9989340842,2503256051,2503256059,9990242170,-7486535451,450660,-74865354.510,4506.600
56,9990348034,2515246192,2515246199,10002232414,-7481044028,5942186,-74810440.280,59421.860
57,10002338305,2566241056,2566241063,10053227375,-7461541780,25444531,-74615417.800,254445.310
58,10053333296,2602249651,2602249658,10089235802,-7469034894,17951249,-74690348.940,179512.490
59,10089341727,2617245110,2617245117,10104232171,-7479541835,7445218,-74795418.350,74452.180
60,10104338086,2618244464,2618244474,10105231613,-7486540380,446758,-74865403.800,4467.580
61,10105337526,2638209124,2638209133,10125195291,-7477057280,9928878,-74770572.800,99288.780
62,10125301208,2668244699,2668244708,10155231838,-7472021819,14965310,-74720218.190,149653.100
63,10155337788,2702249412,2702249421,10189235655,-7470037305,16948929,-74700373.050,169489.290
64,10189341584,2719245008,2719245018,10206236281,-7478543919,8447343,-74785439.190,84473.430
65,10206342169,2719602360,2719602370,10206588329,-7486862884,123075,-74868628.840,1230.750
66,10206694216,2720244543,2720244552,10207231673,-7486718397,268724,-74867183.970,2687.240
67,10207337539,2739040430,2739040441,10226026487,-7477641577,9344468,-74776415.770,93444.680
68,10226132394,2770248621,2770248627,10257240889,-7471438017,15554244,-74714380.170,155542.440
69,10257346918,2770553340,2770553348,10257539378,-7486889804,96226,-74868898.040,962.260
70,10257645219,2776175586,2776175595,10263161632,-7484227835,2758202,-74842278.350,27582.020
71,10263267523,2802249422,2802249428,10289235400,-7474002036,12983935,-74740020.360,129839.350
72,10289341297,2821245197,2821245205,10308232098,-7477541496,9445396,-74775414.960,94453.960
73,10308337978,2822240621,2822240632,10309226674,-7486541699,444342,-74865416.990,4443.420
74,10309332519,2842123622,2842123630,10329109774,-7477097520,9888623,-74770975.200,98886.230
75,10329215627,2872244957,2872244965,10359232003,-7471978854,15008184,-74719788.540,150081.840
76,10359337937,2902249606,2902249615,10389235863,-7472037289,14948958,-74720372.890,149489.580
77,10389341795,2923245744,2923245752,10410232301,-7476541300,10445249,-74765413.000,104452.490
78,10410338234,2924244531,2924244542,10411232025,-7486540593,446890,-74865405.930,4468.900
79,10411337912,2928244474,2928244483,10415231791,-7485040373,1946935,-74850403.730,19469.350
80,10415337674,2974241055,2974241065,10461227302,-7464041428,22944809,-74640414.280,229448.090
81,10461333207,3002248733,3002248740,10489234944,-7473035339,13950865,-74730353.390,139508.650
82,10489340873,3074250228,3074250234,10561236632,-7451038521,35947876,-74510385.210,359478.760
83,10561342652,3075256072,3075256080,10562242140,-7486536320,449740,-74865363.200,4497.400
84,10562347986,3095219482,3095219491,10582205597,-7477057305,9928801,-74770573.050,99288.010
85,10582311459,3102248624,3102248634,10589234712,-7483524456,3461621,-74835244.560,34616.210
86,10589340662,3195230777,3195230785,10682216709,-7440547904,46438019,-74405479.040,464380.190
87,10682322702,3202248686,3202248694,10689234790,-7483530056,3456040,-74835300.560,34560.400
88,10689340691,3295246658,3295246667,10782234965,-7440541165,46447132,-74405411.650,464471.320
89,10782342570,3302248563,3302248571,10789234692,-7483540064,3446057,-74835400.640,34460.570
90,10789340616,3303248981,3303248989,10790235045,-7486538845,447210,-74865388.450,4472.100
91,10790340944,3402248767,3402248775,10889234841,-7437539121,49446944,-74375391.210,494469.440
92,10889340811,3482249641,3482249649,10969235999,-7447038760,39947590,-74470387.600,399475.900
93,10969341993,3483256026,3483256036,10970242106,-7486536018,450051,-74865360.180,4500.510
94,10970348015,3502248791,3502248801,10989234930,-7477542676,9443452,-74775426.760,94434.520
95,10989340840,3503232381,3503232389,10990218391,-7486547230,438771,-74865472.300,4387.710
96,10990324246,3598233154,3598233160,11085219462,-7439538697,47447605,-74395386.970,474476.050
97,11085325394,3602248659,3602248663,11089234772,-7485031422,1954687,-74850314.220,19546.870
98,11089340769,3697249313,3697249321,11184235493,-7439538814,47447358,-74395388.140,474473.580
99,11184341401,3702248614,3702248622,11189234630,-7484539397,2446610,-74845393.970,24466.100
100,11189340513,3703256820,3703256826,11190243259,-7486535063,451370,-74865350.630,4513.700
